"word","n","relative_frequency"
"hombre",236,0.00301358667892532
"hombres",205,0.00261773419143937
"moral",172,0.00219634283379303
"genio",159,0.00203034017775054
"ideal",142,0.00181325978138727
"mediocridad",140,0.00178772091122689
"vida",132,0.00168556543058535
"mediocres",131,0.00167279599550516
"mediocre",128,0.00163448769026458
"virtud",126,0.0016089488201042
"ideales",118,0.00150679333946266
"tiempo",84,0.00107263254673613
"social",83,0.00105986311165594
"dignidad",80,0.00102155480641536
"verdad",78,0.00099601593625498
"perfección",73,0.00093216876085402
"demás",72,0.000919399325773828
"mérito",69,0.000881091020533252
"propia",66,0.000842782715292675
"gloria",65,0.000830013280212483
"talento",65,0.000830013280212483
"aunque",64,0.000817243845132291
"prejuicios",64,0.000817243845132291
"sociedad",64,0.000817243845132291
"historia",63,0.000804474410052099
"envidia",62,0.000791704974971907
"carácter",59,0.000753396669731331
"esfuerzo",59,0.000753396669731331
"sombra",57,0.000727857799570947
"bien",56,0.000715088364490755
"corazón",55,0.000702318929410563
"grandes",55,0.000702318929410563
"novela",54,0.000689549494330371
"obra",54,0.000689549494330371
"cosas",52,0.000664010624169987
"mejor",52,0.000664010624169987
"mientras",52,0.000664010624169987
"imaginación",50,0.000638471754009603
"medio",50,0.000638471754009603
"caracteres",49,0.000625702318929411
"obras",49,0.000625702318929411
"clima",47,0.000600163448769026
"mediocracias",47,0.000600163448769026
"viven",47,0.000600163448769026
"menos",46,0.000587394013688834
"propio",46,0.000587394013688834
"vejez",46,0.000587394013688834
"hace",45,0.000574624578608642
"misma",45,0.000574624578608642
"sombras",45,0.000574624578608642
"work",45,0.000574624578608642
"bajo",44,0.00056185514352845
"espíritu",44,0.00056185514352845
"genios",44,0.00056185514352845
"pensar",44,0.00056185514352845
"personalidad",44,0.00056185514352845
"alguna",43,0.000549085708448258
"cualquier",43,0.000549085708448258
"espíritus",43,0.000549085708448258
"parte",43,0.000549085708448258
"simple",42,0.000536316273368066
"éxito",42,0.000536316273368066
"afán",41,0.000523546838287874
"humana",41,0.000523546838287874
"ingenio",41,0.000523546838287874
"virtudes",41,0.000523546838287874
"vivir",41,0.000523546838287874
"idealistas",40,0.000510777403207682
"vanidad",40,0.000510777403207682
"experiencia",39,0.00049800796812749
"idealismo",39,0.00049800796812749
"palabras",39,0.00049800796812749
"parece",39,0.00049800796812749
"sentido",39,0.00049800796812749
"realidad",38,0.000485238533047298
"sino",38,0.000485238533047298
"ajena",37,0.000472469097967106
"común",37,0.000472469097967106
"fuerza",37,0.000472469097967106
"ideas",37,0.000472469097967106
"natural",37,0.000472469097967106
"rebaño",37,0.000472469097967106
"conducta",36,0.000459699662886914
"santidad",36,0.000459699662886914
"honestidad",35,0.000446930227806722
"hora",35,0.000446930227806722
"primera",35,0.000446930227806722
"amor",34,0.00043416079272653
"juventud",34,0.00043416079272653
"superior",34,0.00043416079272653
"algún",33,0.000421391357646338
"cambio",33,0.000421391357646338
"mismos",33,0.000421391357646338
"ningún",33,0.000421391357646338
"hipocresía",32,0.000408621922566146
"naturaleza",32,0.000408621922566146
"pasión",32,0.000408621922566146
"porvenir",32,0.000408621922566146
"pueblo",32,0.000408621922566146
"vive",32,0.000408621922566146
"works",32,0.000408621922566146
"creencias",31,0.000395852487485954
"cultura",31,0.000395852487485954
"evolución",31,0.000395852487485954
"honesto",31,0.000395852487485954
"humanidad",31,0.000395852487485954
"original",31,0.000395852487485954
"aptitudes",30,0.000383083052405762
"años",30,0.000383083052405762
"culto",30,0.000383083052405762
"decir",30,0.000383083052405762
"especie",30,0.000383083052405762
"llega",30,0.000383083052405762
"mentira",30,0.000383083052405762
"morales",30,0.000383083052405762
"nadie",30,0.000383083052405762
"sarmiento",30,0.000383083052405762
"tener",30,0.000383083052405762
"alma",29,0.00037031361732557
"basta",29,0.00037031361732557
"digno",29,0.00037031361732557
"falta",29,0.00037031361732557
"santos",29,0.00037031361732557
"valor",29,0.00037031361732557
"camino",28,0.000357544182245377
"cien",28,0.000357544182245377
"forma",28,0.000357544182245377
"hipócrita",28,0.000357544182245377
"individual",28,0.000357544182245377
"originalidad",28,0.000357544182245377
"raza",28,0.000357544182245377
"saben",28,0.000357544182245377
"superiores",28,0.000357544182245377
"ajeno",27,0.000344774747165185
"ciencia",27,0.000344774747165185
"cuyo",27,0.000344774747165185
"electronic",27,0.000344774747165185
"formas",27,0.000344774747165185
"manera",27,0.000344774747165185
"originales",27,0.000344774747165185
"palabra",27,0.000344774747165185
"podría",27,0.000344774747165185
"pueblos",27,0.000344774747165185
"sentimientos",27,0.000344774747165185
"siglos",27,0.000344774747165185
"ameghino",26,0.000332005312084993
"función",26,0.000332005312084993
"genialidad",26,0.000332005312084993
"jamás",26,0.000332005312084993
"opinión",26,0.000332005312084993
"rutinas",26,0.000332005312084993
"vicio",26,0.000332005312084993
"éstos",26,0.000332005312084993
"individuo",25,0.000319235877004801
"inteligencia",25,0.000319235877004801
"méritos",25,0.000319235877004801
"ninguna",25,0.000319235877004801
"rutina",25,0.000319235877004801
"ésta",25,0.000319235877004801
"arte",24,0.000306466441924609
"cabeza",24,0.000306466441924609
"cerebro",24,0.000306466441924609
"equilibrio",24,0.000306466441924609
"gesto",24,0.000306466441924609
"medida",24,0.000306466441924609
"mentalidad",24,0.000306466441924609
"sabe",24,0.000306466441924609
"suele",24,0.000306466441924609
"éste",24,0.000306466441924609
"aptitud",23,0.000293697006844417
"creen",23,0.000293697006844417
"dice",23,0.000293697006844417
"existencia",23,0.000293697006844417
"hacen",23,0.000293697006844417
"ignoran",23,0.000293697006844417
"parecen",23,0.000293697006844417
"respeto",23,0.000293697006844417
"sentimiento",23,0.000293697006844417
"serlo",23,0.000293697006844417
"vano",23,0.000293697006844417
"veces",23,0.000293697006844417
"virtuoso",23,0.000293697006844417
"virtuosos",23,0.000293697006844417
"belleza",22,0.000280927571764225
"ciertos",22,0.000280927571764225
"cuya",22,0.000280927571764225
"foundation",22,0.000280927571764225
"hecho",22,0.000280927571764225
"igual",22,0.000280927571764225
"implica",22,0.000280927571764225
"incapaces",22,0.000280927571764225
"inferior",22,0.000280927571764225
"intelectual",22,0.000280927571764225
"juicio",22,0.000280927571764225
"nivel",22,0.000280927571764225
"odio",22,0.000280927571764225
"orgullo",22,0.000280927571764225
"pasiones",22,0.000280927571764225
"propios",22,0.000280927571764225
"psicología",22,0.000280927571764225
"terms",22,0.000280927571764225
"cree",21,0.000268158136684033
"humano",21,0.000268158136684033
"héroes",21,0.000268158136684033
"momento",21,0.000268158136684033
"mundo",21,0.000268158136684033
"punto",21,0.000268158136684033
"rutinarios",21,0.000268158136684033
"suelen",21,0.000268158136684033
"tres",21,0.000268158136684033
"admiración",20,0.000255388701603841
"copyright",20,0.000255388701603841
"cómplices",20,0.000255388701603841
"error",20,0.000255388701603841
"excelentes",20,0.000255388701603841
"hipócritas",20,0.000255388701603841
"ignora",20,0.000255388701603841
"incapacidad",20,0.000255388701603841
"necesita",20,0.000255388701603841
"novelas",20,0.000255388701603841
"paso",20,0.000255388701603841
"arquetipos",19,0.000242619266523649
"busca",19,0.000242619266523649
"cierta",19,0.000242619266523649
"deseo",19,0.000242619266523649
"enemigos",19,0.000242619266523649
"fácil",19,0.000242619266523649
"horas",19,0.000242619266523649
"mayor",19,0.000242619266523649
"mejores",19,0.000242619266523649
"mental",19,0.000242619266523649
"nombre",19,0.000242619266523649
"nuevas",19,0.000242619266523649
"patria",19,0.000242619266523649
"pocos",19,0.000242619266523649
"real",19,0.000242619266523649
"serviles",19,0.000242619266523649
"states",19,0.000242619266523649
"viejos",19,0.000242619266523649
"actos",18,0.000229849831443457
"agreement",18,0.000229849831443457
"aristocracia",18,0.000229849831443457
"depende",18,0.000229849831443457
"destino",18,0.000229849831443457
"estilo",18,0.000229849831443457
"favor",18,0.000229849831443457
"firme",18,0.000229849831443457
"infamia",18,0.000229849831443457
"justicia",18,0.000229849831443457
"license",18,0.000229849831443457
"nace",18,0.000229849831443457
"nuevos",18,0.000229849831443457
"poder",18,0.000229849831443457
"poeta",18,0.000229849831443457
"política",18,0.000229849831443457
"segunda",18,0.000229849831443457
"sistema",18,0.000229849831443457
"sociales",18,0.000229849831443457
"suprema",18,0.000229849831443457
"época",18,0.000229849831443457
"acciones",17,0.000217080396363265
"alto",17,0.000217080396363265
"apetitos",17,0.000217080396363265
"blas",17,0.000217080396363265
"comunes",17,0.000217080396363265
"democracia",17,0.000217080396363265
"doctrina",17,0.000217080396363265
"encuentra",17,0.000217080396363265
"existe",17,0.000217080396363265
"filósofo",17,0.000217080396363265
"from",17,0.000217080396363265
"funciones",17,0.000217080396363265
"idealista",17,0.000217080396363265
"libre",17,0.000217080396363265
"lleva",17,0.000217080396363265
"lucha",17,0.000217080396363265
"necesario",17,0.000217080396363265
"ojos",17,0.000217080396363265
"other",17,0.000217080396363265
"pasado",17,0.000217080396363265
"permite",17,0.000217080396363265
"piensa",17,0.000217080396363265
"poseen",17,0.000217080396363265
"precio",17,0.000217080396363265
"privilegio",17,0.000217080396363265
"propias",17,0.000217080396363265
"sabio",17,0.000217080396363265
"según",17,0.000217080396363265
"temperamentos",17,0.000217080396363265
"allí",16,0.000204310961283073
"aquéllos",16,0.000204310961283073
"caminos",16,0.000204310961283073
"ciertas",16,0.000204310961283073
"circunstancias",16,0.000204310961283073
"colectiva",16,0.000204310961283073
"complicidad",16,0.000204310961283073
"firmeza",16,0.000204310961283073
"fuerzas",16,0.000204310961283073
"grande",16,0.000204310961283073
"imposible",16,0.000204310961283073
"intención",16,0.000204310961283073
"mano",16,0.000204310961283073
"mente",16,0.000204310961283073
"piensan",16,0.000204310961283073
"posee",16,0.000204310961283073
"prefieren",16,0.000204310961283073
"sentir",16,0.000204310961283073
"solamente",16,0.000204310961283073
"tartufo",16,0.000204310961283073
"teatro",16,0.000204310961283073
"viejo",16,0.000204310961283073
"vulgares",16,0.000204310961283073
"amar",15,0.000191541526202881
"cierto",15,0.000191541526202881
"consiste",15,0.000191541526202881
"crear",15,0.000191541526202881
"criterio",15,0.000191541526202881
"cuanto",15,0.000191541526202881
"cuantos",15,0.000191541526202881
"derecho",15,0.000191541526202881
"diríase",15,0.000191541526202881
"donations",15,0.000191541526202881
"existen",15,0.000191541526202881
"fanatismo",15,0.000191541526202881
"homenaje",15,0.000191541526202881
"ingenios",15,0.000191541526202881
"manos",15,0.000191541526202881
"mediocracia",15,0.000191541526202881
"moralidad",15,0.000191541526202881
"mujer",15,0.000191541526202881
"partes",15,0.000191541526202881
"pone",15,0.000191541526202881
"posible",15,0.000191541526202881
"quiere",15,0.000191541526202881
"rodean",15,0.000191541526202881
"siguen",15,0.000191541526202881
"that",15,0.000191541526202881
"tórnase",15,0.000191541526202881
"united",15,0.000191541526202881
"adulación",14,0.000178772091122689
"ajenos",14,0.000178772091122689
"alas",14,0.000178772091122689
"capaces",14,0.000178772091122689
"casos",14,0.000178772091122689
"castigo",14,0.000178772091122689
"cobardía",14,0.000178772091122689
"condición",14,0.000178772091122689
"corazones",14,0.000178772091122689
"crea",14,0.000178772091122689
"debe",14,0.000178772091122689
"dentro",14,0.000178772091122689
"domesticación",14,0.000178772091122689
"envidioso",14,0.000178772091122689
"excelente",14,0.000178772091122689
"frecuencia",14,0.000178772091122689
"honor",14,0.000178772091122689
"hábito",14,0.000178772091122689
"impide",14,0.000178772091122689
"impotencia",14,0.000178772091122689
"inferiores",14,0.000178772091122689
"infinito",14,0.000178772091122689
"labios",14,0.000178772091122689
"leyes",14,0.000178772091122689
"libertad",14,0.000178772091122689
"llegan",14,0.000178772091122689
"muere",14,0.000178772091122689
"muerte",14,0.000178772091122689
"noble",14,0.000178772091122689
"número",14,0.000178772091122689
"país",14,0.000178772091122689
"penumbra",14,0.000178772091122689
"poesías",14,0.000178772091122689
"rutinario",14,0.000178772091122689
"servilismo",14,0.000178772091122689
"siglo",14,0.000178772091122689
"simples",14,0.000178772091122689
"solo",14,0.000178772091122689
"síntesis",14,0.000178772091122689
"sócrates",14,0.000178772091122689
"tiempos",14,0.000178772091122689
"trademark",14,0.000178772091122689
"vulgaridad",14,0.000178772091122689
"absoluta",13,0.000166002656042497
"acción",13,0.000166002656042497
"ambiente",13,0.000166002656042497
"ambos",13,0.000166002656042497
"aquél",13,0.000166002656042497
"archive",13,0.000166002656042497
"atmósfera",13,0.000166002656042497
"bueno",13,0.000166002656042497
"buscan",13,0.000166002656042497
"canas",13,0.000166002656042497
"contemporáneos",13,0.000166002656042497
"contraste",13,0.000166002656042497
"conviene",13,0.000166002656042497
"creer",13,0.000166002656042497
"cualidades",13,0.000166002656042497
"dicha",13,0.000166002656042497
"dignos",13,0.000166002656042497
"ebook",13,0.000166002656042497
"educación",13,0.000166002656042497
"emoción",13,0.000166002656042497
"esclavos",13,0.000166002656042497
"esperanza",13,0.000166002656042497
"full",13,0.000166002656042497
"genial",13,0.000166002656042497
"hábitos",13,0.000166002656042497
"igualdad",13,0.000166002656042497
"individuos",13,0.000166002656042497
"jóvenes",13,0.000166002656042497
"lejos",13,0.000166002656042497
"literary",13,0.000166002656042497
"malo",13,0.000166002656042497
"morir",13,0.000166002656042497
"naciones",13,0.000166002656042497
"nación",13,0.000166002656042497
"necesitan",13,0.000166002656042497
"nobles",13,0.000166002656042497
"partidos",13,0.000166002656042497
"pensadores",13,0.000166002656042497
"perfeccionamiento",13,0.000166002656042497
"progreso",13,0.000166002656042497
"páginas",13,0.000166002656042497
"razón",13,0.000166002656042497
"santo",13,0.000166002656042497
"sensibilidad",13,0.000166002656042497
"servil",13,0.000166002656042497
"sienten",13,0.000166002656042497
"sigue",13,0.000166002656042497
"tierra",13,0.000166002656042497
"términos",13,0.000166002656042497
"épocas",13,0.000166002656042497
"4,00",12,0.000153233220962305
"admirar",12,0.000153233220962305
"amistad",12,0.000153233220962305
"antítesis",12,0.000153233220962305
"aquélla",12,0.000153233220962305
"atributos",12,0.000153233220962305
"buen",12,0.000153233220962305
"caer",12,0.000153233220962305
"concibe",12,0.000153233220962305
"constituyen",12,0.000153233220962305
"copy",12,0.000153233220962305
"cosa",12,0.000153233220962305
"crepúsculo",12,0.000153233220962305
"cristo",12,0.000153233220962305
"cuentos",12,0.000153233220962305
"culpa",12,0.000153233220962305
"definición",12,0.000153233220962305
"delito",12,0.000153233220962305
"desprecio",12,0.000153233220962305
"edad",12,0.000153233220962305
"ejemplar",12,0.000153233220962305
"enemigo",12,0.000153233220962305
"ensueño",12,0.000153233220962305
"experimental",12,0.000153233220962305
"firmes",12,0.000153233220962305
"herencia",12,0.000153233220962305
"honestos",12,0.000153233220962305
"ignorancia",12,0.000153233220962305
"imbécil",12,0.000153233220962305
"intelectuales",12,0.000153233220962305
"intereses",12,0.000153233220962305
"joven",12,0.000153233220962305
"justo",12,0.000153233220962305
"lacayos",12,0.000153233220962305
"libres",12,0.000153233220962305
"loco",12,0.000153233220962305
"locura",12,0.000153233220962305
"miseria",12,0.000153233220962305
"muchas",12,0.000153233220962305
"naturales",12,0.000153233220962305
"nuevo",12,0.000153233220962305
"pensamiento",12,0.000153233220962305
"perfecto",12,0.000153233220962305
"persigue",12,0.000153233220962305
"personas",12,0.000153233220962305
"primer",12,0.000153233220962305
"primero",12,0.000153233220962305
"propicio",12,0.000153233220962305
"pudiera",12,0.000153233220962305
"selección",12,0.000153233220962305
"siente",12,0.000153233220962305
"supremo",12,0.000153233220962305
"tarde",12,0.000153233220962305
"temperamento",12,0.000153233220962305
"tendencia",12,0.000153233220962305
"verdades",12,0.000153233220962305
"último",12,0.000153233220962305
"1,00",11,0.000140463785882113
"actitud",11,0.000140463785882113
"advertir",11,0.000140463785882113
"alguien",11,0.000140463785882113
"arrastra",11,0.000140463785882113
"aspira",11,0.000140463785882113
"concepto",11,0.000140463785882113
"creadora",11,0.000140463785882113
"cuyas",11,0.000140463785882113
"doctrinas",11,0.000140463785882113
"ejemplo",11,0.000140463785882113
"enciende",11,0.000140463785882113
"errores",11,0.000140463785882113
"escuela",11,0.000140463785882113
"esfuerzos",11,0.000140463785882113
"estudios",11,0.000140463785882113
"facciones",11,0.000140463785882113
"filósofos",11,0.000140463785882113
"fondo",11,0.000140463785882113
"fuego",11,0.000140463785882113
"generaciones",11,0.000140463785882113
"gobierno",11,0.000140463785882113
"iguales",11,0.000140463785882113
"incuba",11,0.000140463785882113
"infinita",11,0.000140463785882113
"inquietud",11,0.000140463785882113
"maledicencia",11,0.000140463785882113
"masa",11,0.000140463785882113
"masas",11,0.000140463785882113
"medios",11,0.000140463785882113
"mirar",11,0.000140463785882113
"nueva",11,0.000140463785882113
"paragraph",11,0.000140463785882113
"peligro",11,0.000140463785882113
"pequeñas",11,0.000140463785882113
"pesar",11,0.000140463785882113
"poetas",11,0.000140463785882113
"primeros",11,0.000140463785882113
"principio",11,0.000140463785882113
"rango",11,0.000140463785882113
"rara",11,0.000140463785882113
"razas",11,0.000140463785882113
"rodea",11,0.000140463785882113
"serie",11,0.000140463785882113
"sirven",11,0.000140463785882113
"sociedades",11,0.000140463785882113
"sola",11,0.000140463785882113
"teme",11,0.000140463785882113
"tiende",11,0.000140463785882113
"tipos",11,0.000140463785882113
"tomos",11,0.000140463785882113
"variaciones",11,0.000140463785882113
"varía",11,0.000140463785882113
"vicios",11,0.000140463785882113
"últimos",11,0.000140463785882113
"útil",11,0.000140463785882113
"2,00",10,0.000127694350801921
"absurdo",10,0.000127694350801921
"access",10,0.000127694350801921
"afirma",10,0.000127694350801921
"animal",10,0.000127694350801921
"antiguos",10,0.000127694350801921
"ausencia",10,0.000127694350801921
"capacidad",10,0.000127694350801921
"cerebros",10,0.000127694350801921
"clase",10,0.000127694350801921
"clásicos",10,0.000127694350801921
"completas",10,0.000127694350801921
"concebir",10,0.000127694350801921
"convierte",10,0.000127694350801921
"coraje",10,0.000127694350801921
"cumbres",10,0.000127694350801921
