"word","n","relative_frequency"
"quijote",2245,0.00580478345184228
"sancho",2174,0.00562120232708468
"señor",1065,0.00275371687136393
"respondió",1063,0.00274854557207498
"bien",1051,0.00271751777634131
"merced",900,0.00232708468002586
"sino",694,0.00179444085326438
"caballero",677,0.00175048480930834
"decir",578,0.00149450549450549
"hacer",535,0.00138332255979315
"aunque",531,0.00137297996121526
"dios",531,0.00137297996121526
"señora",518,0.0013393665158371
"aquel",487,0.00125921137685844
"cosa",447,0.00115578539107951
"buen",446,0.00115319974143504
"verdad",436,0.0011273432449903
"allí",421,0.00108855850032321
"mundo",396,0.00102391725921138
"alguna",386,0.000998060762766645
"todas",374,0.000967032967032967
"dicho",373,0.000964447317388494
"ahora",366,0.000946347769877182
"cosas",364,0.000941176470588235
"parte",364,0.000941176470588235
"buena",363,0.000938590820943762
"vida",358,0.000925662572721396
"panza",352,0.000910148674854557
"menos",347,0.000897220426632191
"lugar",345,0.000892049127343245
"casa",335,0.000866192630898513
"aquella",333,0.000861021331609567
"manera",329,0.000850678733031674
"tiempo",327,0.000845507433742728
"digo",323,0.000835164835164835
"cura",317,0.000819650937297996
"puesto",308,0.000796380090497738
"mano",304,0.000786037491919845
"caballeros",293,0.00075759534583064
"mejor",293,0.00075759534583064
"dulcinea",286,0.000739495798319328
"puede",286,0.000739495798319328
"visto",286,0.000739495798319328
"cómo",285,0.000736910148674855
"ojos",285,0.000736910148674855
"algún",283,0.000731738849385908
"tierra",275,0.000711053652230123
"quién",273,0.000705882352941177
"hecho",272,0.000703296703296703
"historia",262,0.000677440206851972
"quiero",261,0.000674854557207498
"hombre",259,0.000669683257918552
"padre",259,0.000669683257918552
"haber",254,0.000656755009696186
"cielo",252,0.00065158371040724
"amigo",249,0.00064382676147382
"escudero",249,0.00064382676147382
"hizo",248,0.000641241111829347
"saber",247,0.000638655462184874
"camino",246,0.000636069812540401
"parece",245,0.000633484162895928
"muchas",244,0.000630898513251454
"tener",243,0.000628312863606981
"días",240,0.000620555914673562
"manos",239,0.000617970265029089
"cuanto",238,0.000615384615384615
"desta",238,0.000615384615384615
"tres",234,0.000605042016806723
"cuenta",231,0.000597285067873303
"mujer",229,0.000592113768584357
"dice",226,0.000584356819650937
"cada",221,0.000571428571428571
"mesmo",219,0.000566257272139625
"cabeza",216,0.000558500323206206
"punto",212,0.000548157724628313
"noche",211,0.00054557207498384
"replicó",208,0.00053781512605042
"rocinante",207,0.000535229476405947
"veces",207,0.000535229476405947
"grande",203,0.000524886877828054
"vuesa",203,0.000524886877828054
"duque",202,0.000522301228183581
"parecer",202,0.000522301228183581
"razones",202,0.000522301228183581
"caballo",198,0.000511958629605688
"diciendo",198,0.000511958629605688
"andante",197,0.000509372979961215
"sólo",197,0.000509372979961215
"debe",196,0.000506787330316742
"gusto",194,0.000501616031027796
"podía",193,0.000499030381383323
"duquesa",192,0.000496444731738849
"decía",190,0.000491273432449903
"primero",190,0.000491273432449903
"mancha",188,0.000486102133160957
"llegó",186,0.00048093083387201
"nombre",181,0.000468002585649644
"mucha",180,0.000465416936005171
"duda",178,0.000460245636716225
"mismo",178,0.000460245636716225
"adelante",176,0.000455074337427279
"gobernador",174,0.000449903038138332
"barbero",171,0.000442146089204913
"toboso",165,0.000426632191338074
"según",164,0.000424046541693601
"hija",163,0.000421460892049127
"andantes",162,0.000418875242404654
"dado",162,0.000418875242404654
"aventura",160,0.000413703943115708
"cuatro",160,0.000413703943115708
"voluntad",160,0.000413703943115708
"deseo",159,0.000411118293471235
"aquellos",158,0.000408532643826761
"gente",158,0.000408532643826761
"quiso",158,0.000408532643826761
"armas",157,0.000405946994182288
"hace",157,0.000405946994182288
"nunca",155,0.000400775694893342
"tales",155,0.000400775694893342
"ventura",155,0.000400775694893342
"alma",153,0.000395604395604396
"capítulo",153,0.000395604395604396
"rostro",153,0.000395604395604396
"muerte",152,0.000393018745959922
"razón",152,0.000393018745959922
"entender",151,0.000390433096315449
"señores",151,0.000390433096315449
"venía",151,0.000390433096315449
"viendo",151,0.000390433096315449
"cuerpo",150,0.000387847446670976
"siempre",150,0.000387847446670976
"tanta",150,0.000387847446670976
"agora",149,0.000385261797026503
"deste",149,0.000385261797026503
"camila",148,0.00038267614738203
"doncella",148,0.00038267614738203
"libros",148,0.00038267614738203
"menester",148,0.00038267614738203
"venta",148,0.00038267614738203
"palabra",147,0.000380090497737557
"castillo",144,0.000372333548804137
"quiere",144,0.000372333548804137
"alguno",143,0.000369747899159664
"caballería",143,0.000369747899159664
"cuales",143,0.000369747899159664
"hermosa",143,0.000369747899159664
"jamás",143,0.000369747899159664
"puso",143,0.000369747899159664
"lotario",142,0.000367162249515191
"nadie",142,0.000367162249515191
"corazón",141,0.000364576599870718
"ninguna",141,0.000364576599870718
"suelo",141,0.000364576599870718
"suerte",141,0.000364576599870718
"dicen",140,0.000361990950226244
"anselmo",138,0.000356819650937298
"preguntó",138,0.000356819650937298
"vino",138,0.000356819650937298
"años",137,0.000354234001292825
"pies",137,0.000354234001292825
"persona",136,0.000351648351648352
"fernando",135,0.000349062702003878
"comenzó",133,0.000343891402714932
"finalmente",133,0.000343891402714932
"mala",133,0.000343891402714932
"mayor",132,0.000341305753070459
"quedó",132,0.000341305753070459
"voces",132,0.000341305753070459
"poner",131,0.000338720103425986
"caso",130,0.000336134453781513
"fuerza",129,0.000333548804137039
"memoria",128,0.000330963154492566
"salir",128,0.000330963154492566
"éste",128,0.000330963154492566
"grandes",127,0.000328377504848093
"oído",127,0.000328377504848093
"amor",125,0.000323206205559147
"delante",125,0.000323206205559147
"mitad",125,0.000323206205559147
"palabras",125,0.000323206205559147
"causa",124,0.000320620555914674
"fama",124,0.000320620555914674
"libro",124,0.000320620555914674
"hermosura",123,0.0003180349062702
"posible",123,0.0003180349062702
"cierto",122,0.000315449256625727
"volvió",121,0.000312863606981254
"contento",120,0.000310277957336781
"rucio",119,0.000307692307692308
"sabe",119,0.000307692307692308
"ínsula",119,0.000307692307692308
"ventero",118,0.000305106658047835
"demás",117,0.000302521008403361
"gobierno",117,0.000302521008403361
"hacía",116,0.000299935358758888
"pasar",116,0.000299935358758888
"casi",115,0.000297349709114415
"nuevo",115,0.000297349709114415
"venir",114,0.000294764059469942
"dejar",113,0.000292178409825469
"figura",113,0.000292178409825469
"debía",112,0.000289592760180995
"dorotea",112,0.000289592760180995
"ello",112,0.000289592760180995
"espada",112,0.000289592760180995
"bachiller",111,0.000287007110536522
"loco",111,0.000287007110536522
"tantas",111,0.000287007110536522
"bueno",109,0.000281835811247576
"pena",109,0.000281835811247576
"hora",108,0.000279250161603103
"junto",108,0.000279250161603103
"muerto",108,0.000279250161603103
"intención",107,0.00027666451195863
"triste",107,0.00027666451195863
"volver",107,0.00027666451195863
"boca",106,0.000274078862314156
"daba",106,0.000274078862314156
"hermano",106,0.000274078862314156
"tomar",106,0.000274078862314156
"aquello",105,0.000271493212669683
"buscar",105,0.000271493212669683
"ocasión",105,0.000271493212669683
"poder",105,0.000271493212669683
"apenas",104,0.00026890756302521
"della",104,0.00026890756302521
"pedro",104,0.00026890756302521
"pueblo",104,0.00026890756302521
"buenos",103,0.000266321913380737
"hombres",103,0.000266321913380737
"ciudad",102,0.000263736263736264
"lengua",102,0.000263736263736264
"partes",102,0.000263736263736264
"pensamientos",102,0.000263736263736264
"unas",102,0.000263736263736264
"cardenio",101,0.000261150614091791
"hijo",100,0.000258564964447317
"llevar",100,0.000258564964447317
"medio",100,0.000258564964447317
"ninguno",100,0.000258564964447317
"pareció",100,0.000258564964447317
"pudo",100,0.000258564964447317
"solo",100,0.000258564964447317
"carta",99,0.000255979314802844
"comer",99,0.000255979314802844
"luscinda",99,0.000255979314802844
"lágrimas",99,0.000255979314802844
"paso",99,0.000255979314802844
"pobre",99,0.000255979314802844
"tantos",99,0.000255979314802844
"adonde",98,0.000253393665158371
"aventuras",98,0.000253393665158371
"dellos",98,0.000253393665158371
"vista",98,0.000253393665158371
"hablar",97,0.000250808015513898
"pienso",97,0.000250808015513898
"puedo",97,0.000250808015513898
"quería",97,0.000250808015513898
"aquellas",96,0.000248222365869425
"creo",96,0.000248222365869425
"famoso",96,0.000248222365869425
"orden",96,0.000248222365869425
"buenas",95,0.000245636716224952
"parecía",95,0.000245636716224952
"primera",94,0.000243051066580478
"sucedió",94,0.000243051066580478
"traía",94,0.000243051066580478
"aposento",93,0.000240465416936005
"diablo",93,0.000240465416936005
"viene",93,0.000240465416936005
"podría",92,0.000237879767291532
"ésta",92,0.000237879767291532
"brazos",91,0.000235294117647059
"conmigo",91,0.000235294117647059
"cabo",90,0.000232708468002586
"dando",90,0.000232708468002586
"entrar",90,0.000232708468002586
"teresa",90,0.000232708468002586
"cuento",89,0.000230122818358112
"mira",89,0.000230122818358112
"pensar",89,0.000230122818358112
"pudiera",89,0.000230122818358112
"quisiera",89,0.000230122818358112
"sabía",89,0.000230122818358112
"asno",88,0.000227537168713639
"salió",88,0.000227537168713639
"dieron",87,0.000224951519069166
"mozo",87,0.000224951519069166
"suele",87,0.000224951519069166
"campo",86,0.000222365869424693
"mañana",86,0.000222365869424693
"mesma",86,0.000222365869424693
"puerta",86,0.000222365869424693
"trabajo",86,0.000222365869424693
"pasó",85,0.00021978021978022
"pecho",85,0.00021978021978022
"tras",85,0.00021978021978022
"valor",85,0.00021978021978022
"autor",84,0.000217194570135747
"batalla",84,0.000217194570135747
"gana",84,0.000217194570135747
"juicio",84,0.000217194570135747
"pueden",84,0.000217194570135747
"cuya",83,0.000214608920491273
"libertad",83,0.000214608920491273
"nuevas",83,0.000214608920491273
"cuantos",82,0.0002120232708468
"dejó",82,0.0002120232708468
"entendimiento",82,0.0002120232708468
"sazón",82,0.0002120232708468
"sucesos",82,0.0002120232708468
"dueña",81,0.000209437621202327
"llaman",81,0.000209437621202327
"caballerías",80,0.000206851971557854
"desgracia",80,0.000206851971557854
"madre",80,0.000206851971557854
"natural",80,0.000206851971557854
"peligro",80,0.000206851971557854
"pueda",80,0.000206851971557854
"quizá",80,0.000206851971557854
"cerca",79,0.000204266321913381
"falta",79,0.000204266321913381
"allá",78,0.000201680672268908
"doña",78,0.000201680672268908
"honra",78,0.000201680672268908
"locura",78,0.000201680672268908
"marido",78,0.000201680672268908
"pensamiento",78,0.000201680672268908
"valeroso",78,0.000201680672268908
"zoraida",78,0.000201680672268908
"brazo",77,0.000199095022624434
"discreto",77,0.000199095022624434
"misma",77,0.000199095022624434
"rico",77,0.000199095022624434
"sansón",77,0.000199095022624434
"seis",77,0.000199095022624434
"agua",76,0.000196509372979961
"criado",76,0.000196509372979961
"debajo",76,0.000196509372979961
"hidalgo",76,0.000196509372979961
"mercedes",76,0.000196509372979961
"españa",75,0.000193923723335488
"fortuna",75,0.000193923723335488
"hacen",75,0.000193923723335488
"haga",75,0.000193923723335488
"podrá",75,0.000193923723335488
"presto",75,0.000193923723335488
"remedio",75,0.000193923723335488
"silencio",75,0.000193923723335488
"suceso",75,0.000193923723335488
"jumento",74,0.000191338073691015
"licencia",74,0.000191338073691015
"semejantes",74,0.000191338073691015
"deseos",73,0.000188752424046542
"priesa",73,0.000188752424046542
"condición",72,0.000186166774402069
"cristiano",72,0.000186166774402069
"cuán",72,0.000186166774402069
"doncellas",72,0.000186166774402069
"entró",72,0.000186166774402069
"espacio",72,0.000186166774402069
"fuere",72,0.000186166774402069
"reino",72,0.000186166774402069
"venían",72,0.000186166774402069
"hicieron",71,0.000183581124757595
"labrador",71,0.000183581124757595
"llegar",71,0.000183581124757595
"cristianos",70,0.000180995475113122
"gracias",70,0.000180995475113122
"halló",70,0.000180995475113122
"llegaron",70,0.000180995475113122
"padres",70,0.000180995475113122
"haré",69,0.000178409825468649
"leído",69,0.000178409825468649
"pensaba",69,0.000178409825468649
"quisiere",69,0.000178409825468649
